# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.945858e-05	6.313353e-02	-1.771748e-05	2.059984e-05	-3.831732e-05
0.001         	4.180697e-05	3.718606e+02	-2.421271e-02	-1.206455e-02	-1.214816e-02
0.002         	5.237778e-05	-2.493186e+01	-1.156267e-01	-5.776095e-02	-5.786570e-02
0.003         	5.530069e-05	-6.673554e+01	1.841789e-01	9.214474e-02	9.203414e-02
0.004         	5.380802e-05	4.328978e+00	-3.127607e-02	-1.558423e-02	-1.569184e-02
0.005         	5.352924e-05	-7.050920e-01	-1.412172e-02	-7.007329e-03	-7.114387e-03
0.006         	5.374396e-05	4.151119e-01	1.086075e-02	5.484118e-03	5.376630e-03
0.007         	5.302693e-05	2.734627e-01	-5.169273e-03	-2.531610e-03	-2.637664e-03
0.008         	5.228039e-05	2.170121e-01	2.134406e-03	1.119483e-03	1.014923e-03
0.009         	5.126949e-05	1.876481e-01	2.646259e-04	1.835824e-04	8.104344e-05
0.01          	5.003533e-05	1.900883e-01	-8.774453e-04	-3.886873e-04	-4.887580e-04
0.011         	4.880854e-05	1.691878e-01	2.902205e-05	6.331957e-05	-3.429752e-05
0.012         	4.761999e-05	1.628016e-01	-2.750527e-04	-8.990634e-05	-1.851463e-04
0.013         	4.647385e-05	1.551483e-01	-2.768732e-04	-9.196276e-05	-1.849104e-04
0.014         	4.538247e-05	1.481644e-01	-2.165966e-04	-6.291582e-05	-1.536808e-04
0.015         	4.440171e-05	1.434583e-01	-1.272957e-04	-1.924615e-05	-1.080496e-04
0.016         	4.335935e-05	1.383873e-01	-1.618694e-04	-3.757534e-05	-1.242940e-04
0.017         	4.227908e-05	1.349966e-01	-7.107597e-05	6.741089e-06	-7.781706e-05
0.018         	4.117254e-05	1.310774e-01	-1.322263e-04	-2.494059e-05	-1.072857e-04
0.019         	4.005415e-05	1.285194e-01	-5.580700e-05	1.215065e-05	-6.795765e-05
0.02          	3.892915e-05	1.252695e-01	-8.417020e-05	-3.155952e-06	-8.101425e-05
0.021         	3.782816e-05	1.232172e-01	-3.860125e-05	1.852754e-05	-5.712878e-05
0.022         	3.684741e-05	1.206759e-01	-3.660523e-05	1.854480e-05	-5.515002e-05
0.023         	3.601213e-05	1.189519e-01	1.272033e-06	3.664814e-05	-3.537611e-05
0.024         	3.513521e-05	1.168899e-01	6.720577e-06	3.849550e-05	-3.177492e-05
0.025         	3.426520e-05	1.153779e-01	2.525899e-05	4.689469e-05	-2.163570e-05
0.026         	3.355191e-05	1.136808e-01	2.984571e-05	4.847476e-05	-1.862905e-05
0.027         	3.288364e-05	1.123448e-01	4.346244e-05	5.461486e-05	-1.115242e-05
0.028         	3.220577e-05	1.109155e-01	4.332236e-05	5.386695e-05	-1.054458e-05
0.029         	3.151775e-05	1.096935e-01	4.224359e-05	5.263955e-05	-1.039596e-05
0.03          	3.088282e-05	1.084769e-01	4.585689e-05	5.381126e-05	-7.954372e-06
0.031         	3.028556e-05	1.073914e-01	4.618715e-05	5.337914e-05	-7.191982e-06
0.032         	2.975445e-05	1.063144e-01	4.952601e-05	5.451746e-05	-4.991446e-06
0.033         	2.928531e-05	1.052791e-01	5.148702e-05	5.502882e-05	-3.541802e-06
0.034         	2.889061e-05	1.043301e-01	4.909478e-05	5.343800e-05	-4.343226e-06
0.035         	2.851189e-05	1.034084e-01	5.533894e-05	5.618136e-05	-8.424188e-07
0.036         	2.818694e-05	1.025120e-01	4.423805e-05	5.030596e-05	-6.067913e-06
0.037         	2.788521e-05	1.016700e-01	4.774068e-05	5.175555e-05	-4.014867e-06
0.038         	2.758363e-05	1.008486e-01	3.796387e-05	4.656556e-05	-8.601695e-06
0.039         	2.727389e-05	1.000680e-01	4.189584e-05	4.822181e-05	-6.325971e-06
0.04          	2.695667e-05	9.928367e-02	3.656902e-05	4.524118e-05	-8.672155e-06
0.041         	2.661173e-05	9.857838e-02	3.909562e-05	4.615954e-05	-7.063915e-06
0.042         	2.629892e-05	9.784580e-02	3.892081e-05	4.575932e-05	-6.838514e-06
0.043         	2.601281e-05	9.717511e-02	5.085258e-05	5.143910e-05	-5.865200e-07
0.044         	2.573830e-05	9.650087e-02	5.546900e-05	5.347280e-05	1.996195e-06
0.045         	2.548082e-05	9.586628e-02	6.354014e-05	5.725089e-05	6.289251e-06
0.046         	2.524372e-05	9.522679e-02	6.656231e-05	5.852487e-05	8.037437e-06
0.047         	2.502190e-05	9.464421e-02	7.402703e-05	6.203541e-05	1.199161e-05
0.048         	2.480264e-05	9.401424e-02	7.223732e-05	6.092130e-05	1.131602e-05
0.049         	2.460540e-05	9.345254e-02	7.961532e-05	6.441306e-05	1.520226e-05
0.05          	2.439108e-05	9.288228e-02	7.856845e-05	6.367530e-05	1.489315e-05
0.051         	2.417856e-05	9.235380e-02	8.201913e-05	6.518813e-05	1.683101e-05
0.052         	2.395011e-05	9.178882e-02	7.675594e-05	6.232809e-05	1.442786e-05
0.053         	2.369976e-05	9.129564e-02	8.319596e-05	6.529774e-05	1.789822e-05
0.054         	2.342045e-05	9.076732e-02	8.056135e-05	6.370112e-05	1.686023e-05
0.055         	2.311610e-05	9.029505e-02	8.667164e-05	6.645193e-05	2.021972e-05
0.056         	2.277456e-05	8.981381e-02	8.460795e-05	6.507853e-05	1.952942e-05
0.057         	2.241185e-05	8.932525e-02	8.631514e-05	6.556942e-05	2.074572e-05
0.058         	2.201917e-05	8.886019e-02	8.397453e-05	6.400643e-05	1.996810e-05
0.059         	2.159716e-05	8.841715e-02	8.687056e-05	6.503244e-05	2.183812e-05
0.06          	2.117030e-05	8.794911e-02	8.569730e-05	6.401895e-05	2.167835e-05
0.061         	2.073565e-05	8.751903e-02	8.706115e-05	6.426622e-05	2.279493e-05
0.062         	2.030082e-05	8.707011e-02	8.836326e-05	6.448245e-05	2.388081e-05
0.063         	1.986752e-05	8.664985e-02	9.154024e-05	6.563764e-05	2.590260e-05
0.064         	1.942261e-05	8.621988e-02	1.006681e-04	6.975664e-05	3.091142e-05
0.065         	1.897868e-05	8.579215e-02	1.076349e-04	7.279612e-05	3.483875e-05
0.066         	1.856482e-05	8.540231e-02	1.105780e-04	7.385380e-05	3.672416e-05
0.067         	1.816182e-05	8.496075e-02	1.112583e-04	7.379095e-05	3.746731e-05
0.068         	1.776348e-05	8.458361e-02	1.137066e-04	7.461677e-05	3.908981e-05
