# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	8.637874e-05	1.016566e-01	-5.435344e-05	5.920201e-05	-1.135555e-04
0.001         	1.112283e-04	2.803957e+02	1.112878e-01	5.575514e-02	5.553268e-02
0.002         	5.082453e-05	-3.698204e+01	2.541288e-03	1.321468e-03	1.219819e-03
0.003         	-2.531669e-05	-5.013493e+01	1.865867e-02	9.304016e-03	9.354649e-03
0.004         	-5.322218e-05	-6.470843e+00	-9.239137e-02	-4.624891e-02	-4.614246e-02
0.005         	-6.826693e-05	2.362521e-01	-3.602520e-02	-1.808087e-02	-1.794433e-02
0.006         	-7.289154e-05	-4.534943e-01	-1.435668e-02	-7.251230e-03	-7.105447e-03
0.007         	-5.392062e-05	-2.792708e-02	-1.375321e-03	-7.415813e-04	-6.337400e-04
0.008         	-4.569564e-05	6.614647e-02	-2.060308e-03	-1.075849e-03	-9.844581e-04
0.009         	-3.350257e-05	1.010674e-01	1.963160e-04	6.465542e-05	1.316606e-04
0.01          	-2.645235e-05	1.208838e-01	-6.728721e-04	-3.628884e-04	-3.099837e-04
0.011         	-2.068357e-05	1.214523e-01	1.287104e-04	4.367163e-05	8.503877e-05
0.012         	-1.618733e-05	1.178045e-01	-2.682275e-04	-1.503011e-04	-1.179264e-04
0.013         	-1.191052e-05	1.156744e-01	-3.395028e-05	-2.888566e-05	-5.064625e-06
0.014         	-8.263128e-06	1.134238e-01	-1.823608e-04	-9.944355e-05	-8.291730e-05
0.015         	-5.367787e-06	1.104025e-01	-1.258664e-04	-6.830099e-05	-5.756542e-05
